,a2c_with_rc,a2c_no_rc,sac_with_rc,sac_no_rc,mean var,dji
2022-03-30,1138840.2214643213,1014116.8897277032,1078127.5328093225,1005655.1426338654,1011618.9499289969,1026287.2324033914
2022-03-31,1125634.5611707421,998425.1116515313,1061825.6408644372,987933.6199593048,989058.4648291365,1010251.2934741717
2022-04-01,1133254.5724469873,1000243.3107176934,1071903.6288023645,991409.064928482,991851.9827347208,1014327.3900168579
2022-04-04,1129473.8769513818,1006699.7014189874,1072028.9407072717,991723.1365074615,1003137.2719378067,1017345.7429775272
2022-04-05,1130701.8007299157,996234.0014830743,1068485.0523253137,983225.7145790558,997669.6382617843,1009168.4007440506
2022-04-06,1142759.6190105174,983362.0088683282,1065201.9507857019,981029.856638382,989762.7573032313,1004953.9269882677
2022-04-07,1151261.8866534922,983978.8019286309,1061960.4647474939,984671.4379333954,997278.2785888743,1007490.1218470535
2022-04-08,1152333.496986874,986657.4381438409,1066778.5936232263,995188.1053642731,1004810.4941237421,1011497.257377292
2022-04-11,1141914.7336906702,971957.5762358819,1054480.594370907,986815.3773064117,986255.2336033017,999464.4710815522
2022-04-12,1138717.9095252496,971036.5010405694,1049647.7221251184,984232.3278603058,987047.0277050732,996909.0445212752
2022-04-13,1148101.658148144,983518.6983672295,1059103.1344678001,997793.9967789154,998998.2672839196,1006937.1819799184
2022-04-14,1145187.2932754862,972715.046572796,1054389.596604046,992811.4319328766,984727.6245981643,1003634.7915818405
2022-04-18,1144861.9417122232,978572.401751629,1046939.111283001,992255.6300339203,978624.612927453,1002482.9378392716
2022-04-19,1154536.0049141275,993890.2983580743,1070517.3197562066,1006126.9502129059,995377.8465058012,1017034.6218421602
2022-04-20,1171943.847901188,1001311.3470030938,1076470.9744116631,1016160.6446175079,1004571.0611543643,1024305.6843674944
2022-04-21,1164399.563866459,988852.532244793,1070152.028847393,1003249.5095657806,991746.4714484068,1013584.2952787653
2022-04-22,1140276.5746801875,957648.3289977227,1044730.652916607,973593.007040451,960305.0378778687,984995.1761430401
2022-04-25,1147225.556052353,966402.6468840752,1059997.8759238091,978936.4846176605,968664.7056273591,991930.4235731044
2022-04-26,1129566.0862647553,940253.2474242364,1035996.4939658013,956791.1615471344,942449.4178907502,968354.405891774
2022-04-27,1124387.9831267854,946337.8401765481,1047040.5557791558,946206.9832481842,945231.1969950814,970153.3096620296
2022-04-28,1139798.8640433808,961986.0654977647,1067181.6792609063,955458.6099915009,978592.5919613448,988053.8132594957
2022-04-29,1112368.8898750118,931658.4495616495,1041651.8543555108,924463.8077797394,945135.9428080898,960693.5884693546
2022-05-02,1109567.632058121,940273.8535537759,1039115.1373144952,926300.0250954132,948441.9463313187,963149.1012195174
2022-05-03,1110585.418526627,945114.3067721598,1034521.2797781792,933303.4639267426,947070.7757263524,965109.369207019
2022-05-04,1142719.8496980441,973913.9983080789,1060032.026718792,955589.5102562408,975985.2790366095,992268.2870152786
